Normal, Warren Ellis, sci-fi
300, Frank Miller, fantasy
Dust, Hugh Howey, dystopian
Shift, Hugh Howey, dystopian
Orange is the New Black, Piper Kerman, non-fiction
Wool, Hugh Howey, dystopian
Join, Steve Toutonghi, sci-fi
Death's End, Liu Cixin, sci-fi
Underground Airlines, Ben H. Winters, historical
The Third Wave, Steve Case, non-fiction
The Death Cure, James Dashner, dystopian
The Scorch Trials, James Dashner, dystopian
Sleeping Giants, Sylvain Neuvel, sci-fi
The Maze Runner, James Dashner, dystopian
The Rest I Will Kill, Brian McGinty, non-fiction
Snow Crash, Neal Stephenson, sci-fi
Bad News, Anjan Sundaram, non-fiction
Allegiant, Veronica Roth, dystopian
Insurgent, Veronica Roth, dystopian
Divergent, Veronica Roth, dystopian
Cryptonomicon, Neal Stephenson, historical
And the Weak Suffer What They Must?, Yanis Varoufakis, non-fiction
3001: The Final Odyssey, Arthur C. Clarke, sci-fi
2061: Odyssey Three, Arthur C. Clarke, sci-fi
Ender's Game, Orson Scott Card, sci-fi
You May Also Like, Tom Vanderbilt, non-fiction
2010: Odyssey Two, Arthur C. Clarke, sci-fi
The Regional Office is Under Attack, Manuel Gonzales, fantasy
We Are All Stardust, Stefan Klein, non-fiction
Door to Door, Edward Humes, non-fiction
Preacher: Book One, "Garth Ennis, Steve Dillon", fantasy
The Positronic Man, "Isaac Asimov, Robert Silverberg", sci-fi
The Why Axis, "John A. List, Uri Gneezy", non-fiction
Saturn Run, "John Sandford, Ctein", sci-fi
Mockingjay, Suzanne Collins, dystopian
The Battle for Room 314, Ed Boland, non-fiction
Catching Fire, Suzanne Collins, dystopian
The Hunger Games, Suzanne Collins, dystopian
Alibaba: The House that Jack Ma Built, Duncan Clark, non-fiction
The Best of Larry Niven, Larry Niven, sci-fi
Floating City, Sudhir Venkatesh, non-fiction
Extraterrestrial Civilizations, Isaac Asimov, non-fiction
The Kite Runner, Khaled Hosseini, historical
The Ugly Little Boy, "Isaac Asimov, Robert Silverberg", sci-fi
Takedown, Jeff Buck, non-fiction
A Briefer History of Time, "Stephen Hawking, Leonard Mlodinow", non-fiction
The Laws of Medicine, Siddhartha Mukherjee, non-fiction
The Joy of π, David Blatner, non-fiction
The Girl in the Spider's Web, David Lagercrantz, thriller
How to Talk About Places You've Never Been, Pierre Bayard, non-fiction
Nemesis Games, James S.A. Corey, sci-fi
The Rift, Alex Perry, non-fiction
2001: A Space Odyssey, Arthur C. Clarke, sci-fi
When to Rob a Bank, "Steven D. Levitt, Stephen J. Dubner", non-fiction
Cibola Burn, James S.A. Corey, sci-fi
Abaddon's Gate, James S.A. Corey, sci-fi
Caliban's War, James S.A. Corey, sci-fi
Leviathan Wakes, James S.A. Corey, sci-fi
The Andromeda Strain, Michael Crichton, sci-fi
One Child, Mei Fong, non-fiction
Mostly Harmless, Douglas Adams, sci-fi
"So Long, and Thanks for All the Fish", Douglas Adams, sci-fi
"Life, the Universe and Everything", Douglas Adams, sci-fi
The Restaurant at the End of the Universe, Douglas Adams, sci-fi
The Hitchhiker's Guide to the Galaxy, Douglas Adams, sci-fi
A Clockwork Orange, Anthony Burgess, sci-fi
Dune, Frank Herbert, sci-fi
Fahrenheit 451, Ray Bradbury, sci-fi
The Girl Who Kicked the Hornets' Nest, Stieg Larsson, thriller
The Gods Themselves, Isaac Asimov, sci-fi
The Dark Forest, Liu Cixin, sci-fi
The Three-Body Problem, Liu Cixin, sci-fi
The Girl Who Played with Fire, Stieg Larsson, thriller
The Girl with the Dragon Tattoo, Stieg Larsson, thriller
The Bone Clocks, David Mitchell, fantasy
